subjectID,block,trial,trialLen,RTTime,trialTime,trialScore
A001,1,1,3.377165899811799,1.6264379024505615,2.325251579284668,5
A001,1,2,3.7965227734241687,0.7311248779296875,3.371065855026245,5
A001,1,3,4.1541429601860935,0.5223126411437988,3.00830340385437,5
FF01,1,1,3.377165899811799,nan,3.377178430557251,0
FF01,1,2,3.8605816817170457,nan,3.866015911102295,4
FF01,1,3,3.0836043303055782,nan,3.0836408138275146,4
FF01,1,4,3.351497056176007,nan,3.9705424308776855,4
FF01,1,5,4.582416607821983,nan,3.244758367538452,5
FF01,2,1,3.088017946034107,nan,3.090686321258545,0
FF01,2,2,3.567637212763395,nan,3.5736052989959717,4
FF01,2,3,3.270635879899108,nan,3.8606348037719727,2
FF01,2,4,4.609103993007299,nan,3.2292890548706055,5
FF01,2,5,4.929488449881401,nan,3.7640132904052734,5
ff2,1,1,3.377165899811799,nan,3.230333089828491,5
ff2,1,2,3.548189994584784,nan,3.2038674354553223,5
ff2,1,3,4.788549322285578,nan,3.2392029762268066,5
ff2,1,4,3.4536189237310913,nan,3.453673839569092,4
ff2,1,5,4.639107015833742,nan,3.0955700874328613,5
